model_year,milage,accident,clean_title,price,car_id,log_price,car_age,engine_hp,engine_displacement_L,num_cylinders,is_turbo_supercharged,milage_per_year,is_luxury,is_electric,is_hybrid,is_common_color,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,fuel_type_Unknown,fuel_type_not supported,transmission_CVT,transmission_Manual,transmission_Unknown,engine_fuel_detail_Electric,engine_fuel_detail_Flex Fuel,engine_fuel_detail_Gasoline,engine_fuel_detail_Hybrid,engine_fuel_detail_Unknown,brand_freq,model_freq,ext_col_freq,int_col_freq,brand_model_freq
2018,-1.1244877570229026,0,0.0,179900.0,3662,12.100161978566867,-0.4070097921090768,-0.16179092017170416,0.08158744970421634,-0.13420722710911134,1,-1.4034290629063944,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.0014966325767024195,0.0007483162883512097,0.0002494387627837366,0.014716887004240458,0.0007483162883512097
1997,1.3255947098641694,1,0.0,7200.0,3663,8.881975184248867,3.020220248789112,-0.3899114971621102,1.4830075943473278,1.2261891660146014,0,-0.4802540778732168,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0037415814417560487,0.0009977550511349464,0.06510351708655525,0.13444749314043403,0.0009977550511349464
2019,-0.5257508263488954,0,0.0,34998.0,3664,10.463074768634808,-0.5708353198766761,-0.16179092017170416,-0.28720732520186554,-0.13420722710911134,0,-0.14825929229686494,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.018957345971563982,0.0004988775255674732,0.0009977550511349464,0.5061112496882015,0.0004988775255674732
2017,0.1378167608660883,0,0.0,13700.0,3665,9.525224101853109,-0.2431842643414775,-1.3571427436014318,-1.61486851486376,-1.4946036202328241,0,0.5043203543391594,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.09628336243452232,0.0004988775255674732,0.009478672985781991,0.13444749314043403,0.0004988775255674732
2021,-1.1283125745179454,0,0.0,279991.0,3666,12.542516310314644,-0.8984863754118747,-0.16179092017170416,1.1142128194412457,-0.13420722710911134,0,-1.2666270793684362,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.006485407832377151,0.0002494387627837366,0.0002494387627837366,0.002494387627837366,0.0002494387627837366
2014,1.0992993827699593,1,0.0,21500.0,3667,9.975854724662028,0.2482923189613204,-0.3899114971621102,-0.06593046025821621,-0.13420722710911134,0,1.000539522905591,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.035669743078074335,0.0027438263906211027,0.008979795460214518,0.5061112496882015,0.0027438263906211027
2020,-0.5253300964244406,0,0.0,54500.0,3668,10.905974329106854,-0.7346608476442754,0.6138190415956764,-0.5084841901455145,-0.13420722710911134,0,0.14340871558766707,1,0,1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.03242703916188576,0.0007483162883512097,0.09329009728111748,0.5061112496882015,0.0007483162883512097
1999,0.45959865672404304,0,0.0,6800.0,3669,8.824824939175638,2.7056752354753097,-0.6636561895505975,0.8191769995163801,1.2261891660146014,0,-0.8019409802925157,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07283611873285109,0.0004988775255674732,0.20354203043152905,0.11773509603392367,0.0004988775255674732
2008,0.00157676169266207,0,0.0,24700.0,3670,10.114599007626499,1.2312454855669162,1.051810549417256,0.524141179591515,1.2261891660146014,0,-0.7086498849107543,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.026689947617859814,0.0002494387627837366,0.22649039660763282,0.5061112496882015,0.0002494387627837366
2014,0.9076760262683127,0,0.0,12599.0,3671,9.441452092939569,0.2482923189613204,-0.16179092017170416,-1.2460737399576782,-0.13420722710911134,0,0.7871851892345983,0,0,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.09628336243452232,0.0002494387627837366,0.20354203043152905,0.001247193813918683,0.0002494387627837366
2015,1.6143110584774787,1,0.0,35000.0,3672,10.463131911491967,0.0844667911937211,0.20320200301294553,2.2205971441594916,-0.13420722710911134,0,1.8914961480348658,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02269892741332003,0.0009977550511349464,0.20354203043152905,0.5061112496882015,0.0009977550511349464
