model_year,milage,accident,clean_title,price,log_price,car_age,engine_hp,engine_displacement_L,num_cylinders,is_turbo_supercharged,milage_per_year,is_luxury,is_electric,is_hybrid,is_common_color,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,fuel_type_Unknown,fuel_type_not supported,transmission_CVT,transmission_Manual,transmission_Unknown,engine_fuel_detail_Electric,engine_fuel_detail_Flex Fuel,engine_fuel_detail_Gasoline,engine_fuel_detail_Hybrid,engine_fuel_detail_Unknown,brand_freq,model_freq,ext_col_freq,int_col_freq,brand_model_freq
2017,-0.7733312628030188,1,0.0,29000.0,10.275085591132715,-0.2431842643414775,-0.910026412700236,-1.2460737399576782,-1.4946036202328241,0,-0.8905847198192829,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.008231479171863308,0.0002494387627837366,0.22649039660763282,0.5061112496882015,0.0002494387627837366
2016,0.46721004353917833,0,0.0,17500.0,9.770013301136158,-0.07935873657387821,-0.5450334895155863,-0.13968941523943265,-0.13420722710911134,0,0.7185939086638413,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04963831379396358,0.0002494387627837366,0.22649039660763282,0.5061112496882015,0.0002494387627837366
2017,0.15921661475085302,0,0.0,30990.0,10.341452118734878,-0.2431842643414775,-0.25303915096786656,-0.06593046025821621,-0.13420722710911134,0,0.5370821065618342,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.05013719131953105,0.0004988775255674732,0.20354203043152905,0.5061112496882015,0.0004988775255674732
2017,-0.09021885818836627,1,0.0,52500.0,10.868587496017359,-0.2431842643414775,1.5992999341942304,0.22910535966664922,1.2261891660146014,0,0.15521350913163307,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07857321027687703,0.0009977550511349464,0.12372162634073335,0.5061112496882015,0.0009977550511349464
2016,0.16889340301331143,1,0.0,20848.0,9.945061264446057,-0.07935873657387821,-0.16179092017170416,-0.9510379200328128,-0.13420722710911134,0,0.31263629263844855,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0.015714642055375407,0.0002494387627837366,0.0002494387627837366,0.5061112496882015,0.0002494387627837366
2005,0.8831971943000384,0,0.0,19500.0,9.87822102528824,1.7227220688697142,-0.02491857397746052,1.7042844592909767,1.2261891660146014,0,-0.3026890894524039,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.003991020204539786,0.0022449488650536295,0.12372162634073335,0.5061112496882015,0.0022449488650536295
2013,-0.49182469516786526,0,0.0,73000.0,11.19822841866684,0.4121178467289197,0.6594431569937576,0.08158744970421634,-0.13420722710911134,0,-0.8402271026092167,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.05013719131953105,0.003492142678972312,0.08730356697430781,0.5061112496882015,0.003492142678972312
2016,1.057226390324488,0,0.0,19800.0,9.893487720457795,-0.07935873657387821,-1.0925228742925608,-1.2460737399576782,-1.4946036202328241,0,1.5215046317624636,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.07857321027687703,0.001995510102269893,0.22649039660763282,0.5061112496882015,0.001995510102269893
2009,1.3364763156375663,0,0.0,7500.0,8.922791623969637,1.0674199577993169,-0.7092803049486787,-0.13968941523943265,-0.13420722710911134,0,0.3689698716323193,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.006984285357944624,0.0009977550511349464,0.08730356697430781,0.5061112496882015,0.0009977550511349464
2023,-1.216742355003336,0,0.0,30999.0,10.341742483467284,-1.2261374309470734,-0.16179092017170416,-1.61486851486376,-0.13420722710911134,1,-1.473327431610802,0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0.028934896482913443,0.0002494387627837366,0.0002494387627837366,0.0002494387627837366,0.0002494387627837366
2010,0.3591971974791683,0,0.0,6500.0,8.77971129020447,0.9035944300317176,-1.1655214589294907,-1.2460737399576782,-1.4946036202328241,0,-0.2976143153650902,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.049887752556747315,0.0002494387627837366,0.09329009728111748,0.5061112496882015,0.0002494387627837366
